month,year,rating_diff
1,2010,0.17446967942101652
2,2010,0.27379550304728123
3,2010,-0.5455703867946371
4,2010,-3.1093072013771974
5,2010,-0.7528468181365838
6,2010,2.355794188930822
7,2010,0.6014799400609304
8,2010,0.76406117686621
9,2010,0.5614464700930889
10,2010,1.3121578074011182
11,2010,-0.635553966182309
12,2010,-1.8152759655474184
1,2011,1.229575186402969
2,2011,0.096706689696206
3,2011,-1.6048604500315125
4,2011,0.5150992999855409
5,2011,0.19712521767269528
6,2011,1.1273349876646566
7,2011,2.9545213389866176
8,2011,-3.384692851393637
9,2011,1.1162614967281739
10,2011,1.0220382952717506
11,2011,-2.665296778066809
12,2011,2.356556131275761
1,2012,-0.8745388193168411
2,2012,0.5039310261840841
3,2012,-0.827056583186962
4,2012,1.991715512157478
5,2012,-2.4811815369532777
6,2012,0.8100797179861832
7,2012,3.572854784907062
8,2012,1.4437698030095014
9,2012,-1.6013375123858156
10,2012,-1.6338194811677886
11,2012,-1.7044627402078458
12,2012,0.10060739661665953
1,2013,1.0186406064748872
2,2013,4.532093223016712
3,2013,-4.444823484809249
4,2013,-0.06693210987293044
5,2013,-1.1651162834095221
6,2013,4.009926852794298
7,2013,-0.7650274574912401
8,2013,-2.4781072777534123
9,2013,-1.2359738140887642
10,2013,1.129571784159434
11,2013,1.9483960649238328
12,2013,-2.0243955180884483
1,2014,-1.1678081439283914
2,2014,1.2961652266257224
3,2014,3.1332843878084042
4,2014,0.6715802328330553
5,2014,1.427514714534815
6,2014,2.9332593011137114
7,2014,-1.7891957295637644
8,2014,-2.1885666909152546
9,2014,-0.5268641967051649
10,2014,-3.2175031274642163
11,2014,2.855383496124738
12,2014,1.735254694326572
1,2015,-1.4805965677739596
2,2015,2.1360176109511158
3,2015,-2.7886707124979537
4,2015,-0.5360066521183788
5,2015,-2.659481141043502
6,2015,2.4497098703252194
7,2015,2.067447593122289
8,2015,-2.129865085475717
9,2015,0.5371102147946527
10,2015,-0.637872191095864
11,2015,1.9101313395437032
12,2015,1.5902930032908469
1,2016,-0.36658032735909657
2,2016,0.35002692489770904
3,2016,-3.3005180819094124
4,2016,1.955460766907308
5,2016,2.7640845913581154
6,2016,-0.45993907747996376
7,2016,-3.4826306156403293
8,2016,-3.395259294803136
9,2016,2.210980620223975
10,2016,4.376785388468478
11,2016,-4.632355436690115
12,2016,-1.2697659246951583
1,2017,-2.1244493880802184
2,2017,-1.8060273642868427
3,2017,-0.1098235777963163
4,2017,1.5772697700631262
5,2017,0.7062425866680929
6,2017,1.1713181315506758
7,2017,-0.9554136478658153
8,2017,-1.1797580670463674
9,2017,2.7348409581068225
10,2017,0.9812074274718695
11,2017,-0.6386720297323158
12,2017,-2.259662627844417
1,2018,-4.6159478955941635
2,2018,-0.8935658003576432
3,2018,0.10687977108581462
4,2018,1.044701150094456
5,2018,1.3775300659602376
6,2018,0.8375274491854301
7,2018,-0.5585388331584952
8,2018,-0.9893052515980653
9,2018,-0.46598749124862665
10,2018,0.26867394220431956
11,2018,1.9590751951331957
12,2018,0.7303108257441692
1,2019,-0.5649958752416687
2,2019,0.11331143449454985
3,2019,-3.5197928163539847
4,2019,0.7648328528278003
5,2019,0.006464671580647867
6,2019,2.2362728487468284
7,2019,-0.06622192544883879
8,2019,2.404160605643025
9,2019,-1.0114828148551795
10,2019,0.3726003958116439
11,2019,-1.0327090627334667
12,2019,-1.2689022517609105
1,2020,-1.9520727383608831
2,2020,-2.480056225516059
3,2020,0.35924842377139443
4,2020,0.9659012834619243
5,2020,1.9584655539255331
6,2020,2.878535481202524
7,2020,1.7784197945698432
8,2020,-0.7788760250886327
9,2020,-1.9703500190941547
10,2020,-0.9590924420080696
11,2020,0.6367983234862322
12,2020,1.2978291125875698
